0,007,10_cat,11_cat,12_cat,13_cat,14_cat,15,16_cat,17,18,19,1_cat,20,21,22,23,24,25,26,27,28,29,2_cat,3,30,31,32,33,34,35,36,37,38,39,40,41,42,43_cat,44,45,46,47,48,49,4_cat,5,50,6,7_cat,8_cat,9_cat,y
0.0793,1.0,0,232,252,302,394,0.3396,25,0.3542,0.0716,0.4786,738,0.3528,0.045,0.3707,0.5652,0.3881,0.5245,0.7721,0.3952,0.0598,0.6297,151,0.6214,0.2296,0.2036,2.408,0.728,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.1882,0.8608,0.4729,232,425.1225,57.128,10.2937,16.9703,1.4961,0.4566,942,5.2386,2.4525,100.9447,757,316,1378,85.8741
0.146,0.0,1,232,253,303,296,0.6532,25,0.3586,0.0555,0.4409,739,0.3977,0.0446,0.3073,0.4398,0.3476,0.4731,0.713,0.3285,0.0447,0.4777,249,0.3345,0.2158,0.1483,2.3702,0.3779,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.1764,0.7015,0.5048,232,425.1671,57.2903,10.2937,16.9703,1.8162,0.4561,943,5.2199,2.4837,100.734,776,940,1379,49.9256
0.0565,,2,233,254,304,395,0.3047,250,0.3511,0.0798,0.4107,740,0.371,0.0421,0.3781,0.6423,0.3373,0.5011,0.8193,0.4184,0.0744,0.5642,940,0.6781,0.2495,0.1721,2.3884,0.4867,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.0486,0.8762,0.3932,232,425.1772,57.368,10.2937,16.9703,1.4961,0.452,944,5.2415,2.4861,100.9099,797,1342,1380,37.3333
0.0404,0.0,3,232,255,19,290,0.3396,250,0.3549,0.0784,0.3917,741,0.2744,0.0424,0.3011,0.4352,0.3335,0.4619,0.7812,0.3257,0.0447,0.4844,325,0.5877,0.2211,0.1405,2.3682,0.2627,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.0901,0.71,0.4251,232,425.1278,57.1746,10.7731,17.7465,1.4961,0.61,945,5.2204,2.7001,100.7523,1321,940,1381,51.7386
0.0273,3.0,4,232,255,250,396,0.3047,247,0.2581,0.0533,0.3087,742,0.2283,0.0383,0.271,0.4998,0.451,0.3768,0.6423,0.3623,0.0574,0.7547,325,0.6059,0.244,0.1532,2.3863,0.43,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.0658,0.6,0.4889,232,425.1304,57.1706,10.2937,16.9703,1.4961,0.5071,946,5.2485,2.4854,100.9596,933,1343,1382,179.5914
0.0531,,5,232,256,305,397,0.3396,304,0.3895,0.0521,0.4619,743,0.3312,0.0456,0.3333,0.4912,0.3474,0.5487,0.761,0.3576,0.0306,0.5301,52,0.6944,0.1889,0.146,2.3631,0.3864,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.6149,0.8395,0.4012,232,425.2398,57.5095,10.7731,17.7465,1.4961,0.4299,947,5.2178,2.4394,100.7201,799,247,1379,28.6
0.0239,0.0,6,234,257,39,398,0.3047,8,0.2612,0.0503,0.3485,744,0.1427,0.038,0.2964,0.5083,0.4175,0.4391,0.8074,0.3533,0.0375,0.5967,244,0.4493,0.1694,0.1391,2.3671,0.274,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.3412,0.7135,0.3853,232,425.1568,57.2954,10.7731,17.7465,1.7845,0.4155,948,5.2524,2.4394,101.0182,756,8,1381,60.1926
0.0298,2.0,4,235,255,250,396,0.3047,25,0.3542,0.0716,0.4786,745,0.3528,0.045,0.3707,0.5652,0.3881,0.5245,0.7721,0.3952,0.0598,0.6297,52,0.716,0.2296,0.2036,2.408,0.728,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.1882,0.8608,0.5048,232,425.1965,57.4017,10.2937,16.9703,1.4961,0.4547,949,5.2393,2.4731,100.9527,757,316,1382,98.6921
0.0176,1.0,7,232,254,306,399,0.3047,8,0.3381,0.0811,0.3505,746,0.2897,0.0378,0.298,0.4606,0.3063,0.4501,0.777,0.349,0.0519,0.4906,244,0.4729,0.2603,0.1445,2.3929,0.3245,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.0439,0.6731,0.1382,232,425.2,57.3867,10.2937,16.9703,1.4961,0.4155,950,5.22,2.4394,100.7746,739,1344,1383,81.3936
0.0628,1.0,4,232,255,250,396,0.3047,304,0.3076,0.0773,0.367,747,0.3002,0.0348,0.2751,0.5511,0.338,0.3609,0.5331,0.367,0.0569,0.465,4,0.3021,0.2903,0.1422,2.3631,0.3024,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.0337,0.6105,0.4172,232,425.1308,57.1932,10.7731,17.7465,1.8553,0.4539,951,5.227,2.4566,100.8097,1322,1345,1382,60.7769
0.0776,2.0,8,236,255,302,400,0.3047,304,0.3451,0.0506,0.4582,748,0.1649,0.0457,0.3287,0.5285,0.3861,0.533,0.8681,0.3803,0.0521,0.5862,25,0.2832,0.1915,0.1572,2.3671,0.4447,2.0227,4.2007,5.2513,0.0382,4.0531,-0.4378,0.5122,0.8325,0.4092,232,425.2629,57.4272,10.7731,17.7465,1.8218,0.4463,952,5.2375,2.7348,100.9179,761,1346,1379,100.4838
